Name;Topic path;Topic
TR03CUX22 Permisos de usos - Evento estándar;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
MO01CUX01 Soy pasajero;Movilidad [MO] / 01. BA Taxi / 01. MO01CUX01 - BA Taxi; 01. MO01CUX01 - BA Taxi
SE00CUX01 Presencia policial;Seguridad [SE];Seguridad [SE]
CU01CUX02 Museo Bellas Artes;Cultura [CU] / 01. Museos / 02. CU01CUX02 - Museos; 02. CU01CUX02 - Museos
DE00CUX01 Por actividad;Deportes [DE];Deportes [DE]
EDU04CUX03 Darme de baja;Educación [EDU] / 04. Educación Escolar / 03. EDU04CUX03 - Boleto estudiantil; 03. EDU04CUX03 - Boleto estudiantil
CU05CUX01 Apertura corta;Cultura [CU] / 05. Bibliotecas / 01. CU05CUX01 - Red de Bibliotecas de la Ciudad ; 01. CU05CUX01 - Red de Bibliotecas de la Ciudad 
BOT02CUX05 L1;Boti [BOT] / 02. Cumpleaños / 05. BOT02CUX05 - Botigrama; 05. BOT02CUX05 - Botigrama
VI03CUX01 Primera casa;Vivienda [VI] / 03. Créditos Hipotecarios / 01. VI03CUX01 - Créditos Hipotecarios ; 01. VI03CUX01 - Créditos Hipotecarios 
CIU02CUX01 Sede comunal 13;Ciudad [CIU] / 02. Comunas de la ciudad / 01. CIU02CUX01 - Comunas de la Ciudad; 01. CIU02CUX01 - Comunas de la Ciudad
EDU01CUX02 Qué necesito ;Educación [EDU] / 01. Becas / 02. EDU01CUX02 - Becas Nivel Superior; 02. EDU01CUX02 - Becas Nivel Superior
AG01CUX02 Convenio Multilateral;AGIP [AG] / 01. Sobre AGIP / 02. AG01CUX02 - Ingresos Brutos; 02. AG01CUX02 - Ingresos Brutos
EDU01CAT03 Espera 5 min;Derivaciones [DER] / Derivación / Derivación a agente de Designaciones interinas; Derivación a agente de Designaciones interinas
CIU05CUX07 Apertura QR;Ciudad [CIU] / 05. Sobre la Ciudad / 07. CIU05CUX07 - Barrio Mugica; 07. CIU05CUX07 - Barrio Mugica
MO01CUX01 Hacer un reclamo;Movilidad [MO] / 01. BA Taxi / 01. MO01CUX01 - BA Taxi; 01. MO01CUX01 - BA Taxi
GA04CUX17 Qué necesito;Gastronomía [GA] / 04. Trámites gastronómicos / 17. GA04CUX17 - Gastronómicos; 17. GA04CUX17 - Gastronómicos
TU04CUX01 Apertura Reintento;Turismo [TU] / 04. Guía turístico ft. GPT / 01. TU04CUX01 - Guía turístico; 01. TU04CUX01 - Guía turístico
TR04CUX23 Otras devoluciones;Trámites [TR] / 04. Estáticos Varios / 23. TR04CUX23 - Boleta BUI; 23. TR04CUX23 - Boleta BUI
CU10CUX02 Don Nicola;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
TUR01CUX06 Bifurcador de vacunas;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
DH02CUX01 Oportunidades ;Desarrollo humano [DH] / 02. Economía popular / 01. DH02CUX01 - RUPEPYS; 01. DH02CUX01 - RUPEPYS
INN08CUX01 Mejor no DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
OB05CUX01 Número de expediente erróneo;Obras [OBR] / 05. DGROC / 01. OB05CUX01 - Consulta DGROC; 01. OB05CUX01 - Consulta DGROC
miBA Login - Desde SUACI Vaciado contenedor;miBA [MIBA] / 01. Cuenta miBA / 05. MIBA01CUX05 - miBA Login / miBA Login V2; miBA Login V2
AM04CUX03 Plantas y animales;Ambiente [AM] / 04. Reservas y espacios / 03. AM04CUX03 - Lago Lugano; 03. AM04CUX03 - Lago Lugano
EM01CUX02 Violencia de género, GCBA;Empleo [EM] / 01. Violencia laboral / EM01CUX02 - Violencia Laboral (DGNL); EM01CUX02 - Violencia Laboral (DGNL)
CU10CUX01 1800-1900 (audio 1 - Plaza Dorrego);Cultura [CU] / 10. Casco Histórico / 01. CU10CUX01 - Casco Histórico; 01. CU10CUX01 - Casco Histórico
CIU05CUX03 Apertura corta Belgrano;Ciudad [CIU] / 05. Sobre la Ciudad / 03. CIU05CUX03 - Barrios de la Ciudad / 10. CIU05CUX03 - Belgrano; 10. CIU05CUX03 - Belgrano
