Name;Topic path;Topic
SUA01CUX14 Dirección;Solicitudes - Suaci [SUACI] / 01. Espacio público / 14. SUA01CUX14 - Reparación de Baches; 14. SUA01CUX14 - Reparación de Baches
CIU02CUX02 Denuncias y reclamos;Ciudad [CIU] / 02. Comunas de la ciudad / 02. CIU02CUX02 - Más servicios en tu barrio; 02. CIU02CUX02 - Más servicios en tu barrio
ED02CUX08 Examen de nivelación;Educación [EDU] / 02. Cursos y talleres / 08. EDU02CUX08 - Ciudad Bilingue; 08. EDU02CUX08 - Ciudad Bilingue
VI01CUX02 Destinatarios;Vivienda [VI] / 01. Instituto de la Vivienda (IVC) / 02. VI01CUX02 Garantía + Fácil; 02. VI01CUX02 Garantía + Fácil
SA03CUX01 A los 18 meses;Salud [SA] / 03. Vacunación general / 01. SA03CUX01 - Vacunación; 01. SA03CUX01 - Vacunación
TR01CUX19 Cómo hago el trámite;Trámites [TR] / 01. TAD / 19. TR01CUX19 - Solicitud de Certificado de Convivencia; 19. TR01CUX19 - Solicitud de Certificado de Convivencia
DE04CUX01 Fútbol;Deportes [DE] / 4. Polideportivos / 01. DE04CUX01 Polideportivos; 01. DE04CUX01 Polideportivos
TUR01CUX11 Barrio;Turnos [TUR] / 01. SIGECI / 11. TUR01CUX11 - Turno para práctica de auto en pista; 11. TUR01CUX11 - Turno para práctica de auto en pista
SE06CUX01 Apertura;Seguridad [SE] / 06. Senderos escolares / 01. SE06CUX01 - Senderos escolares; 01. SE06CUX01 - Senderos escolares
DH08CUX02 Pregunta V2M3;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
EDU01CAT02 Time Out;Derivaciones [DER] / Derivación / Deriva a agente de Terminá la Secundaria ; Deriva a agente de Terminá la Secundaria 
EP02CUX02 Apertura activación QR;Espacio Público [EP] / 02. Higiene / 02. EP02CUX2 - Higiene Urbana; 02. EP02CUX2 - Higiene Urbana
TR01CUX05 Apertura;Trámites [TR] / 01. TAD / 05. TR01CUX05 - Actualización, Rectificación y/o Modificación de datos Registro de Empleadores;o Modificación de datos Registro de Empleadores
GE01CUX02 Apertura corta;Género [GE] / 01. Violencias / 02. GE01CUX02 - Violencia contra la mujer; 02. GE01CUX02 - Violencia contra la mujer
TU03CUX09 Shows en el domo;Turismo [TU] / 03. Lugares emblemáticos / 09. TU03CUX09 - Planetario; 09. TU03CUX09 - Planetario
SA07CUX01 Sífilis;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
CU04CUX01 Cómo sacar entradas;"Cultura [CU] / 04. Festivales y ""Día de -Noche de"" / 01.CU04CUX01 - Feria del libro 2025"; 01.CU04CUX01 - Feria del libro 2025
SUA01CUX27 Hay solicitudes previas;Solicitudes - Suaci [SUACI] / 01. Espacio público / 27. SUA01CUX27 - Mayor luminaria; 27. SUA01CUX27 - Mayor luminaria
